20230001,Nguyen Van A,0901234567
20230002,Le Thi B,0912345678
20230003,Tran Van C,0923456789
20230004,Pham Thi D,0934567890
20230005,Hoang Van E,0945678901
20230006,Do Thi F,0956789012
20230007,Nguyen Van G,0967890123
20230008,Le Thi H,0978901234
20230009,Tran Van I,0989012345
20230010,Pham Thi K,0990123456
20230011,Hoang Van L,0901111222
20230012,Do Thi M,0911111222
20230013,Nguyen Van N,0921111222
20230014,Le Thi O,0931111222
20230015,Tran Van P,0941111222
20230016,Pham Thi Q,0951111222
20230017,Hoang Van R,0961111222
20230018,Do Thi S,0971111222
20230019,Nguyen Van T,0981111222
20230020,Le Thi U,0991111222
